GLOBAL,CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,ASITUR006002001,ASITUR00C001002,ASITUR003003002,ASITUR00A002001,ASITUR007001002,ASITUR008003004,ASITUR005001000,ASITUR006001001,ASITUR00A002004,ASITUR009000005,ASITUR003002001,ASITUR002002001,ASITUR008001003,ASITUR00C003002,ASITUR00A001003,ASITUR004001003,ASITUR00B001003,ASITUR00B002003,ASITUR004002004,ASITUR006001003,ASITUR004001001,ASITUR002002002,ASITUR008002002,ASITUR008003003,ASITUR003002002,ASITUR00C002002,ASITUR004002003,ASITUR002001002,ASITUR00B001002,ASITUR00A001002,ASITUR00A001001,ASITUR004001002,ASITUR00C001001,ASITUR009000003,ASITUR009000006,ASITUR00B002004,ASITUR006003001,ASITUR00A002003,ASITUR006001002,ASITUR001000000,ASITUR003001000,ASITUR006003002,ASITUR008001002,ASITUR005002002,ASITUR00A002002,ASITUR008002001,ASITUR007002001,ASITUR00C001003,ASITUR007001001,ASITUR002001003,ASITUR007001005,ASITUR004002001,ASITUR005002001,ASITUR003003003,ASITUR00B001001,ASITUR003003001,ASITUR00C003001,ASITUR006002002,ASITUR003002003,ASITUR00B002002,ASITUR007001004,ASITUR007001003,ASITUR009000002,ASITUR006003003,ASITUR009000004,ASITUR004002002,ASITUR008003001,ASITUR00C002001,ASITUR00C003004,ASITUR008002003,ASITUR00C003003,ASITUR007002002,ASITUR002001001,ASITUR008003002,ASITUR009000001,ASITUR00B001004,ASITUR003003004,ASITUR00B002001,ASITUR004002005,ASITUR007002003,ASITUR008001001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New category,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,," Aldigi goc
",,,,"Aldigi goc
",,,,,52647,18523,22922,16597,12205,13957,204048,96441,5630,9050,42743,43296,8872,18872,7150,10890,9906,11936,14681,12537,84253,25096,12702,16286,30185,36124,,18779,22170,14062,29624,36041,46435,22308,20437,8216,32868,7321,19042,453407,126238,26856,17017,9195,11328,21601,37832,6776,12585,16098,11928,87158,56817,19447,26925,39558,24255,56171,42112,12752,11144,13878,29835,,15514,35943,41718,40135,10505,10059,11554,25319,54482,34586,27314,6996,11044,30492,13834,14933,18244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,," Verdigi goc
",,,,"Verdigi goc
",,,,,64192,24064,26226,32174,14164,15092,153001,68374,7802,10969,37689,48892,8113,23216,9281,9806,13122,18801,12401,12247,64558,23005,16148,22636,24961,56025,,17458,21699,16766,41803,28298,48858,26942,17737,12983,41519,10589,18659,402864,105389,32272,12567,9865,19809,18092,36087,6593,15204,13816,11544,56927,57056,22337,31368,36736,34592,58404,37663,23855,11955,15959,32600,,18936,28492,44627,50580,16166,11274,23615,33501,33937,40805,32454,8133,11001,48061,11497,26804,25340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,," Net goc

",,,,"Net goc

",,,,,-11545,-5541,-3304,-15577,-1959,-1135,51047,28067,-2172,-1919,5054,-5596,759,-4344,-2131,1084,-3216,-6865,2280,290,19695,2091,-3446,-6350,5224,-19901,,1321,471,-2704,-12179,7743,-2423,-4634,2700,-4767,-8651,-3268,383,50543,20849,-5416,4450,-670,-8481,3509,1745,183,-2619,2282,384,30231,-239,-2890,-4443,2822,-10337,-2233,4449,-11103,-811,-2081,-2765,,-3422,7451,-2909,-10445,-5661,-1215,-12061,-8182,20545,-6219,-5140,-1137,43,-17569,2337,-11871,-7096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Net goc hizi  ,,,%,Net goc hizi (%) ,,,,,-5.274243532,-9.150442288,-4.649153542,-28.06674252,-5.055568674,-3.516822651,9.732411588,12.34027539,-21.64402946,-11.33293372,4.808849654,-4.704553059,3.987842073,-7.637063669,-26.76614478,5.117576799,-11.9646418,-19.96327223,7.863289131,1.123186441,6.952731838,4.081628669,-18.8648258,-12.01843458,5.272347426,-11.95868272,,3.287079488,0.820459579,-12.05689571,-15.84960122,9.410040415,-1.25346118,-10.80178926,17.98812784,-16.95484931,-5.625450106,-16.83937156,0.908498972,3.454239932,5.01420097,-4.926690912,18.95609428,-2.762533449,-28.56512535,9.461319543,1.302060501,1.401616838,-9.643549518,6.598579657,1.703864756,17.12863245,-0.112171631,-5.044439945,-5.731975016,2.046477224,-12.89289369,-1.278676086,4.907061967,-26.80074684,-2.824086568,-5.994449157,-3.785951996,,-10.34806012,7.847655841,-2.270282209,-5.504488042,-17.51647294,-5.934341276,-24.30602088,-13.13938475,22.14766005,-10.41534954,-6.666779077,-13.12258712,0.121803887,-15.89693639,10.080206,-27.90710796,-11.83741899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,,,,"Aldigi goc
",,,,,51562,16578,21414,14480,11936,12970,203621,93057,5323,9551,45842,57551,7794,18543,8912,10090,9400,11447,13264,10235,80717,27429,14519,15875,28279,36920,,16431,19724,15450,27994,35927,46438,26857,18811,7187,32678,7407,17966,438998,124439,27619,13438,8673,10280,17539,40957,5759,13306,14553,10648,79697,55798,18734,29285,35570,22207,55598,48219,12077,10164,13785,28555,,17311,32701,41057,35670,10551,10783,12749,29726,52994,35891,31847,7286,10190,27587,14680,16200,18115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,,,,"Verdigi goc
",,,,,63181,24330,27100,30995,14577,14817,163612,64631,8033,10187,32396,39918,8903,21515,5583,10114,12852,17470,13065,12271,65027,20540,23080,24652,24771,48019,,17108,24162,13641,45209,27977,44415,23620,16071,10897,39181,9453,19930,424662,101447,30903,13195,9788,20020,18163,33374,7451,18744,13678,12199,55060,55453,21860,31476,38432,30796,54843,29671,22688,13165,17946,39937,,17932,28311,44519,49030,14366,11950,16142,34855,31266,38737,29741,6810,10895,44435,11064,27722,24783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,,,,"Net goc

",,,,,-11619,-7752,-5686,-16515,-2641,-1847,40009,28426,-2710,-636,13446,17633,-1109,-2972,3329,-24,-3452,-6023,199,-2036,15690,6889,-8561,-8777,3508,-11099,,-677,-4438,1809,-17215,7950,2023,3237,2740,-3710,-6503,-2046,-1964,14336,22992,-3284,243,-1115,-9740,-624,7583,-1692,-5438,875,-1551,24637,345,-3126,-2191,-2862,-8589,755,18548,-10611,-3001,-4161,-11382,,-621,4390,-3462,-13360,-3815,-1167,-3393,-5129,21728,-2846,2106,476,-705,-16848,3616,-11522,-6668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,,,%,Net goc hizi (%) ,,,,,-5.350914581,-12.88326123,-8.017326223,-29.61309324,-6.849554883,-5.72116226,7.798922724,12.87205962,-26.52597784,-3.741352534,12.98809183,14.94017533,-5.838086539,-5.31588559,42.16993381,-0.11432001,-12.89286448,-17.66096978,0.699007164,-7.894043022,5.644506194,13.55180679,-45.57832727,-16.51027025,3.590781886,-6.76521816,,-1.689887012,-7.772710396,8.121996062,-22.30131716,9.834909599,1.071246355,7.556630961,18.89876744,-13.33851054,-4.269616815,-10.59669876,-4.67884182,0.997644373,5.605650121,-3.010965636,1.050985786,-4.628101918,-32.32272281,-1.69005387,5.7508639,-13.05283621,-19.86041467,2.548898803,-6.940140727,14.40358871,0.163612915,-5.45438366,-2.843093301,-2.090064089,-10.82705516,0.437205303,20.9526284,-25.47527559,-10.42917389,-12.02675889,-15.59265657,,-1.881307948,4.717837833,-2.722297361,-7.212471529,-11.91169422,-5.689643824,-6.915140244,-8.19747459,24.25357307,-4.748532977,2.750320283,5.516346232,-2.015371136,-15.40084427,16.09213817,-26.28667118,-11.07402056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,,,,"Aldigi goc
",,,,,50598,15715,22200,14725,11491,12379,186642,88605,5254,10053,34688,38710,7886,18816,4787,10231,10968,11314,13138,11156,75518,24766,22290,17073,27088,35466,,16255,21433,12662,23398,33893,41978,23453,16677,8007,29067,6882,18730,437922,113673,24560,13652,8747,11046,19911,36580,6566,15089,14120,11259,71159,51080,17875,25876,36257,22596,51468,35246,11070,10322,14731,30792,,16842,30770,38644,33383,10866,12085,13031,26354,45313,26987,25115,8458,10655,32118,14670,16688,17006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,,,,"Verdigi goc
",,,,,62933,24077,26799,28477,13726,14658,153791,64075,7633,8644,32338,39688,8133,20209,4677,9202,10940,16174,12401,10001,61744,18238,16991,21460,24039,47949,,17000,21303,12884,39997,28329,42291,20170,11162,10293,39315,9779,19807,371601,99681,29322,11676,9445,18072,15658,33789,6161,17818,13297,11346,54742,55006,20915,33194,36989,29525,55482,30687,20193,12147,15493,46332,,15859,27170,42504,47429,13339,9869,13753,30244,31681,47071,29988,5612,10493,38507,9808,26572,25571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,,,,"Net goc

",,,,,-12335,-8362,-4599,-13752,-2235,-2279,32851,24530,-2379,1409,2350,-978,-247,-1393,110,1029,28,-4860,737,1155,13774,6528,5299,-4387,3049,-12483,,-745,130,-222,-16599,5564,-313,3283,5515,-2286,-10248,-2897,-1077,66321,13992,-4762,1976,-698,-7026,4253,2791,405,-2729,823,-87,16417,-3926,-3040,-7318,-732,-6929,-4014,4559,-9123,-1825,-762,-15540,,983,3600,-3860,-14046,-2473,2216,-722,-3890,13632,-20084,-4873,2846,162,-6389,4862,-9884,-8565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
